Incident,City,Date,Entity,Location,Opposition Type,Severity,Source URL,State,County,Scope,Issue Category,Objective,Authority Level,Status,Community Outcome,Hyperscaler,Company,Project Name,Investment Million USD,Megawatts,Acreage,Sponsors,Opposition Groups,Summary,Sources,Opposition Website,Opposition Facebook,Opposition Instagram,Petition URL,Petition Signatures,data_source,lat,lon
Detroit,Detroit,2026-03-10,Unknown,"Detroit, MI",moratorium,1,https://planetdetroit.org/2026/03/detroit-data-center-moratorium/,MI,Wayne County,local,environmental; grid_energy; noise; water; zoning,Pause data centers in Detroit pending regulations,city_council,passed,win,,,,,,,,Michigan Economic Development Responsibility Alliance; Michigan Sierra Club,"Detroit, Michigan, City Council voted 6-2 on March 18, 2026 for a resolution asking Mayor Mary Sheffield to halt all data center permits for two years while the city studies environmental and economic impacts. The resolution, spearheaded by District 3 Council Member Scott Benson, calls for research into grid stability, water use, noise pollution, and land use impacts. Council President James Tate Jr. and President Pro Tem Coleman Young II voted against it, citing concerns about the moratorium's length. (The 6-2 vote is a resolution asking the mayor to impose the pause; it is not itself binding.)",https://planetdetroit.org/2026/03/detroit-data-center-moratorium/; https://www.michiganpublic.org/environment-climate-change/2026-03-18/detroit-city-council-asks-mayor-to-consider-data-center-moratorium; https://www.bridgedetroit.com/data-center-moratorium-for-detroit/,,,,,,,42.3314,-83.0458
Grant County,Grant County,2025-10-01,Sheridan Data Center LLC (Clean Cloud Energy),"Grant County, AR",public_comment,1,https://www.kark.com/news/state-news/grant-county-residents-voice-concerns-over-proposed-data-solar-center/,AR,Grant County,local,contract_guarantees; transparency; water,Rally against Sheridan Data Center LLC's proposed data and solar center in Grant County,county_commission,active,pending,,Sheridan Data Center LLC (Clean Cloud Energy),,5000,,,,Stop Grant County Data Center,"Grant County, Arkansas, Quorum Court passed a resolution allowing officials to negotiate a PILOT agreement with Sheridan Data Center LLC (operating under Clean Cloud Energy) for a proposed data and solar center just outside Sheridan. Residents protested at the courthouse, citing water depletion concerns (county relies on underground water only), lack of company transparency, and project scale. A resident sued the county for FOIA violations. The Facebook opposition group 'Stop Grant County Data Center' has more than 1,000 members.",https://www.kark.com/news/state-news/grant-county-residents-voice-concerns-over-proposed-data-solar-center/; https://www.kark.com/news/local-news/people-protest-at-the-grant-county-courthouse-against-proposed-data-and-solar-center-near-sheridan/; https://www.southarkansasreckoning.com/grant-county-data-center-opponents-to-protest-monday/,,https://www.facebook.com/groups/stopgrantcountydatacenter,,,,,34.2901,-92.4224
Matthews,Matthews,2025-09-01,Crosland Southeast / Crow Holdings / Engineered Land Solutions,"Matthews, NC",project_withdrawal,2,https://www.datacenterdynamics.com/en/news/project-accelerate-data-center-could-come-to-matthews-north-carolina/,NC,Mecklenburg County,local,anti_ai; community_impact; zoning,Community pressure forces withdrawal of 123-acre Project Accelerate rezoning in Matthews,developer,cancelled,win,,Crosland Southeast / Crow Holdings / Engineered Land Solutions,Project Accelerate,,,123,,Save Matthews - NO AI Data Center,"Developers proposed a 123-acre data center campus (Project Accelerate) near I-485 and East John Street in Matthews, North Carolina, Mecklenburg County (by Crosland Southeast / Crow Holdings / Engineered Land Solutions). After a contentious community open house and a Change.org petition gathering over 2,100 signatures, the developer withdrew the rezoning application on October 8, 2025. Under local rules, the developer can resubmit after 6 months (April 2026).",https://www.datacenterdynamics.com/en/news/project-accelerate-data-center-could-come-to-matthews-north-carolina/; https://www.wbtv.com/2025/09/22/proposed-data-center-matthews-met-with-mixed-opinions-what-know/; https://www.qcnews.com/news/u-s/north-carolina/mecklenburg-county/matthews/developer-of-proposed-data-center-in-matthews-withdraws-application-mayor-says/; https://www.change.org/p/no-data-centers-in-matthews-nc,,,,https://www.change.org/p/no-data-centers-in-matthews-nc,2987,,35.1168,-80.7237
Tulsa (Fair Oaks),Tulsa (Fair Oaks),2024-06-01,Atmoss,"Tulsa (Fair Oaks), OK",public_comment,1,https://www.datacenterdynamics.com/en/news/340-acre-data-center-campus-planned-in-tulsa-oklahoma/,OK,Tulsa County,local,environmental; tax_incentive; water; zoning,Oppose Atmoss Project Anthem data center after 85% tax exemption approved in Tulsa,planning_commission,approved,loss,Meta,Atmoss,Project Anthem,800,,340,,Stop Data Center Project Anthem Fair Oaks,"Atmoss LLC's 'Project Anthem' data center at Fair Oaks Industrial Park was approved by Tulsa, Oklahoma, City Council with an 85% property tax exemption for 25 years. The $800M site broke ground in October 2025 despite community concerns. In March 2026, the Tulsa Metropolitan Area Planning Commission delayed a decision on rezoning an additional 375 acres for expansion. Residents continue to question water usage (projected at 1 billion gallons/year) and lack of community input. explicitly says developer identity 'has not been publicly disclosed.')",https://www.datacenterdynamics.com/en/news/340-acre-data-center-campus-planned-in-tulsa-oklahoma/; https://www.publicradiotulsa.org/local-regional/2025-07-17/tulsa-county-commissioners-approve-data-center-zoning-despite-boisterous-public-opposition; https://www.fox23.com/news/in-depth-tulsa-leaders-consider-pause-on-new-data-centers-as-debate-grows-across-green/article_b2038fa2-74d4-4adc-9cfa-e8b5b0a041af.html; https://tulsaflyer.org/2026/03/19/government/post/east-tulsa-data-center-rezoning-for-project-anthem-delayed/,,,,,,,36.1343,-95.8216
Muskogee County,Muskogee County,2025-11-20,Google,"Muskogee County, OK",public_comment,1,https://www.newson6.com/technology/google-data-centers-muskogee-county-oklahoma,OK,Muskogee County,local,community_impact; environmental; transparency; water,Oppose Google data center over water in Muskogee County,county_commission,active,pending,Google,Google,,9000,,,,Muskogee County RWD #6 NO WATER FOR DATA CENTERS,"Google announced plans to build two data center campuses near Summit and Council Hill in Muskogee County as part of a $9 billion Oklahoma investment. Rural Water District #6 and local residents object to the projects over water consumption concerns. The Council Hill campus anticipates ~20,000 gallons/day from the local water district. Indigenous environmental advocates warn that tech companies are targeting rural and indigenous communities because of available space and resources, often under NDAs that block elected officials from sharing details.",https://www.newson6.com/technology/google-data-centers-muskogee-county-oklahoma; https://ktul.com/news/local/google-announces-2-data-center-campuses-in-muskogee-county-summit-council-hill-electricity-grid-energy-investment-ai-cloud-workspace-search-maps-port-stephens-infrastructure-workforce-agriculture; https://tulsaflyer.org/2026/02/23/business/post/oklahoma-data-center-water-demand/; https://www.okenergytoday.com/2026/03/regulators-to-hold-muskogee-meeting-about-water-concerns/,,,,,,,35.6233,-95.3697
Young County,Young County,2025-10-01,Stream Data Centers / Headwaters Site Development,"Young County, TX",public_comment,1,https://www.grahamleader.com/news/data-center-developer-share-project-information-city-council,TX,Young County,local,community_impact; grid_energy; water,Petition to block Stream Data Centers data center in Young County,county_commission,active,pending,,Stream Data Centers / Headwaters Site Development,Project Saltworks,1250,600,867,,Concerned Citizens of Young County,"Stream Data Centers and Headwaters Site Development proposed Project Saltworks, an 867-acre data center campus with 600+ MW capacity between FM 61 and FM 209 in Young County, Texas,. Concerned Citizens of Young County organized meetings and public outreach, with a petition gathering 900+ signatures in one week. Headwaters has not yet identified an end-user but is in discussions with Google, Microsoft, Amazon, and Meta, expecting to announce by end of 2026 with construction in 2027.",https://www.grahamleader.com/news/data-center-developer-share-project-information-city-council; https://www.grahamleader.com/news/data-center-parties-draw-local-groups; https://www.grahamleader.com/news/data-center-opposition-hosts-additional-public-outreach; https://www.texastribune.org/2025/10/02/rural-texas-data-centers-water/,,,,,900,,33.0637,-98.6879
Leon County (Marquez),Leon County (Marquez),2025-12-01,Belltown Power,"Leon County (Marquez), TX",public_comment,1,https://www.kbtx.com/2025/12/24/leon-county-bracing-1500-megawatt-data-center/,TX,Leon County,local,community_impact; environmental; noise; water,Mobilize opposition to Belltown Power data center in Leon County,county_commission,active,pending,,Belltown Power,Kahla Project,15000,1500,,,Citizens United for Responsible Growth in Leon County,"Belltown Power proposed the Kahla Project, a 1,500 MW data center on private property near Marquez in Leon County, Texas,. The $15 billion project aims to complete half by 2026 and the rest by 2027. Nearly 200 residents packed a meeting in Jewett to challenge the project, citing health impacts, livestock effects, noise, lighting, public safety, and water use. Leon County has 11 endangered species. Belltown Power has declined invitations to attend public meetings. The grassroots opposition group Citizens United for Responsible Growth (CURG) organized the community response.",https://www.kbtx.com/2025/12/24/leon-county-bracing-1500-megawatt-data-center/; https://www.kxxv.com/news/local-news/in-your-neighborhood/leon-county-residents-oppose-proposed-1-500-megawatt-data-center-project; https://www.kbtx.com/2026/01/14/leon-county-hosts-town-hall-discuss-future-planned-data-center/; https://www.kxxv.com/news/local-news/in-your-neighborhood/leon-county-residents-hold-meeting-over-proposed-marquez-data-center,https://curg.org/,,,,,,31.2382,-96.2358
Appomattox County,Appomattox County,2026-03-24,AVAIO Digital,"Appomattox County, VA",public_comment,1,https://www.wdbj7.com/2026/02/24/appomattox-residents-concerned-about-planned-data-center/,VA,Appomattox County,local,noise; transparency; water; community_impact; environmental; zoning,Rally against AVAIO Digital data center in Appomattox County,county_commission,active,pending,,AVAIO Digital,Hercules,3000,300,452,,Appomattox Data Center Watch; Virginia Data Center Reform Coalition; Piedmont Environmental Council,"In Appomattox County, Virginia, AVAIO Digital's 'Project Hercules,' a $3B hyperscale data center campus on 452 acres, was approved in December 2024. The site in the county's industrial park is fully zoned for data centers and cleared for rapid construction. Six buildings are planned with 200-250 jobs. Residents say the project was approved without meaningful public input — the deal was announced in December 2024 but a public information session didn't occur until over a year later. Protests erupted in March 2026 with residents raising concerns about water usage, noise, and lack of transparency.",https://www.wdbj7.com/2026/02/24/appomattox-residents-concerned-about-planned-data-center/; https://wset.com/news/local/3b-data-center-planned-on-452-acres-in-appomattox-county-sparking-community-pushback; https://www.datacenterdynamics.com/en/news/avaio-plans-300mw-data-center-campus-in-appomattox-county-virginia/; https://cardinalnews.org/2024/12/11/appomatox-county-strikes-deal-for-data-center/; https://www.wsls.com/news/local/2026/03/24/data-centers-spark-protests-in-appomattox-county/; https://wset.com/news/local/appomattox-county-residents-press-developers-on-3b-data-center-campus-economic-development-authority-new-jobs-tax-revenue-local-resources-community-march-2026; https://www.wsls.com/news/local/2026/03/25/proposed-appomattox-data-center-promises-jobs-but-sparks-water-usage-fears/,https://www.pecva.org/datacenters,,,,,,37.3722,-78.8267
Botetourt County,Botetourt County,2025-12-01,Google,"Botetourt County, VA",public_comment,1,https://www.wdbj7.com/2026/03/26/google-reveals-more-details-about-botetourt-county-data-center-plans/,VA,Botetourt County,local,environmental; transparency; water,Community pressure forces Google to withdraw in Botetourt County,county_commission,approved,loss,Google,Google,,3000,,312,,Southwest Virginia Data Center Transparency Alliance; Botetourt Data Center Concern Group,"Google formally announced a data center campus on 312 acres in Daleville on March 26, 2026 (also dubbed Project Raspberry). Plans include 3 data center buildings (~300,000 sq ft each), 3 substations, and a 28,000 sq ft office building. The facility will draw up to 2 million gallons of water/day from Carvins Cove, potentially rising to 8 million gallons/day at full build-out. Google will pay for all water and electric infrastructure. Construction on the first building expected to begin in 2026, completion in 2028. County estimates ~$30M/year in taxes. On April 8, residents packed a community meeting raising concerns about water supply. The Southwest Virginia Data Center Transparency Alliance said the announcement left key questions unanswered. Some residents are discussing recalling Board of Supervisors members; others are considering legal action. On April 17, 2026, the Botetourt County Chamber of Commerce formally endorsed the Google data center project, adding to business-community support for the facility despite continued resident opposition over water use and transparency. UPDATE 2026-04-21: On April 17, 2026 the Botetourt County Chamber of Commerce formally endorsed the Google data center project.",https://www.wdbj7.com/2026/03/26/google-reveals-more-details-about-botetourt-county-data-center-plans/; https://www.wdbj7.com/2026/03/26/google-confirms-development-botetourt-county-data-center-campus/; https://www.datacenterdynamics.com/en/news/google-details-planned-data-center-in-botetourt-county-virginia/; https://www.wsls.com/news/local/2026/03/12/documents-reveal-key-details-of-proposed-google-data-center-project-in-botetourt-county/; https://www.wdbj7.com/2026/02/25/google-data-centers-expected-water-use-made-public/; https://www.wdbj7.com/2026/01/17/botetourt-county-leaders-say-google-data-center-already-generating-revenue-funding-public-safety-schools/; https://cardinalnews.org/2026/04/03/have-questions-about-googles-data-center-project-in-botetourt-county-we-have-some-answers/; https://www.wsls.com/news/local/2026/04/03/residents-divided-as-google-announces-official-data-center-campus-in-botetourt-county/; https://www.wdbj7.com/2026/04/08/residents-raise-concerns-over-proposed-botetourt-county-data-center/; https://www.wdbj7.com/2026/03/31/data-center-transparency-group-responds-google-announcement/,,,,,,,37.5518,-79.8126
Strasburg,Strasburg,2025-03-01,Takanock,"Strasburg, VA",public_comment,1,https://www.nvdaily.com/nvdaily/shenandoah-county-weighing-safeguards-as-it-shapes-data-center-policy/article_9457e215-e1c7-5396-93ce-537a11345351.html,VA,Shenandoah County,local,noise; water,Rally against Takanock data center in Strasburg,county_commission,active,pending,,Takanock,Project Tallmadge,8000,,87,,No Data Centers - Strasburg VA,"In Shenandoah County, Virginia, Takanock proposed Project Tallmadge, A 2-million-sq-ft data center on 87 acres in Strasburg's industrial park near I-81 Exit 296, with an $8 billion capital investment. The land is zoned industrial (by-right use). Residents questioned water use, noise, and long-term oversight at a March 2025 public meeting. Shenandoah County is drafting its first data center regulations focusing on water use, noise control, and land protections, with the county's reliance on small-town water systems and private wells making it vulnerable to high-volume industrial users. Construction potentially commencing late 2027.",https://www.nvdaily.com/nvdaily/shenandoah-county-weighing-safeguards-as-it-shapes-data-center-policy/article_9457e215-e1c7-5396-93ce-537a11345351.html; https://baxtel.com/data-center/takanock-project-tallmadge,,,,,,,38.9884,-78.3586
Monroe County,Monroe County,2026-02-01,Undisclosed developer (state-facilitated),"Monroe County, WV",zoning_restriction,1,https://therealwv.com/2026/02/06/monroe-county-commission-denies-data-center-discussions/,WV,Monroe County,local,community_impact; transparency; zoning,Resist data center siting in Monroe County after state law preempted local authority,county_commission,active,pending,,Undisclosed developer (state-facilitated),,,,,,Monroe County Against Data Centers,"Monroe County residents organized opposition to potential data center development (by Undisclosed developer (state-facilitated)). The Monroe County Commission denied ongoing data center discussions, but acknowledged that recent West Virginia state legislation (2025) removed local authority over certified data center projects, limiting the Commission's ability to regulate or influence them. The Commission encouraged residents to contact state legislators. The state legislative session ending March 14, 2026 further increased data center development powers while reducing local control, despite overwhelming public opposition.",https://therealwv.com/2026/02/06/monroe-county-commission-denies-data-center-discussions/; https://mountainstatespotlight.org/2025/12/14/data-center-pushback-lawmakers-respond/; https://www.govtech.com/security/public-outcry-surrounds-west-virginia-data-center-tax-break-bill,,,,,,,37.5623,-80.5498
Sheboygan,Sheboygan,2025-07-01,Unknown,"Sheboygan, WI",public_comment,1,https://www.tmj4.com/news/sheboygan-county/sheboygan-residents-raise-concerns-about-speculated-data-center-amid-land-deal-city-denies-data-center,WI,Sheboygan County,local,community_impact; transparency,Oppose KBC Advisors data center in Sheboygan,city_council,active,loss,,,,,,62,,No Data Center In Sheboygan,"The City of Sheboygan Finance and Personnel Committee passed a recommendation for a purchase agreement with Amazon.com Services LLC to sell 58.1 acres at the intersection of Stahl Road and South Taylor Drive — for what is described as a logistics center, not a data center. Project would create hundreds of jobs and inject $73M in wages. Around a dozen Sheboygan residents showed opposition. Separately, the regional impact: ATC's $1.4B transmission project to support a Port Washington data center would span Ozaukee, Washington, Sheboygan, Fond du Lac, Manitowoc, and Calumet counties — pending PSC approval, construction could begin mid-2026. New North hosted a Data Center Educational Forum for Municipal Leaders in March 2026. [Validation 2026-06-19: outcome resolved to 'loss' per https://wtmj.com/news/2026/01/22/city-of-sheboygan-approves-land-sale-to-amazon-for-logistics-facility/.]",https://www.tmj4.com/news/sheboygan-county/sheboygan-residents-raise-concerns-about-speculated-data-center-amid-land-deal-city-denies-data-center; https://www.sheboygansun.com/news/amazon-project-sheboygan-concerns/article_63631a02-170a-4a2b-a9af-2cfeea56d1b1.html; https://www.tmj4.com/news/sheboygan-county/sheboygan-amazon-warehouse-deal-approved-residents-petition-in-opposition-to-any-potential-data-centers,,,,https://www.change.org/p/no-sheboygan-ai-data-center,625,,43.7508,-87.7145
Raton,Raton,2026-06-09,Atterix,"Raton, NM",public_comment,1,https://krtnradio.com/wp/2026/02/10/atterix-mou-causes-uproar-among-some-attendees/,NM,Colfax County,local,community_impact; transparency,Oppose Atterix data center in Raton,city_council,delayed,pending,,Atterix,Advanced Digital Hub Infrastructure Project,,,,,Raton Data Center Hub MOU Discussion,"Raton, New Mexico, City Commission voted 3-1 on February 10, 2026 to approve a six-month MOU with Atterix for a feasibility study on an 'Advanced Digital Hub Infrastructure Project' at the former Kmart building, despite citizen pushback. Residents demanded transparency about Atterix and the MOU terms. City officials clarified the MOU is only for a feasibility study, not construction approval, and includes a request not to divulge proprietary information shared during the six-month study period. The Facebook discussion group has a neutral stance, focused on monitoring the MOU process. On June 9, 2026 the Raton City Commission delayed a decision on a proposed data center moratorium pending a legal review of how it would interact with the existing Atterix MOU; Mayor Pro Tem Mark Honeyfield said 'It appears we're doing a bait-and-switch in bad faith.' [Update 2026-06-22: UPDATE to Raton's proposed data center moratorium. On June 9, 2026 the Raton City Commission voted to postpone a decision on a data center moratorium because city staff had not yet completed a legal review of how the moratorium would interact with the city's existing memorandum of understanding (approved 3-1 in February) with Colorado-based Atterix LLC,...]","https://krtnradio.com/wp/2026/02/10/atterix-mou-causes-uproar-among-some-attendees/; https://worldjournalnewspaper.com/commissioners-talk-data-center-roads-events-and-more/; {'url': 'https://sourcenm.com/2026/06/10/small-northern-new-mexico-city-postpones-decision-on-data-center-moratorium/', 'title': 'Small northern New Mexico city postpones decision on data center moratorium — Source New Mexico'}; {'url': 'https://www.santafenewmexican.com/news/business/ai-data-center-proposal-in-raton-draws-opposition/article_605c80c8-0a7f-4726-b790-3e2d96f882ed.html', 'title': 'AI data center proposal in Raton draws opposition — Santa Fe New Mexican'}",,,,,,,36.8973,-104.4392
Davenport,Davenport,2024-05-01,Meta,"Davenport, IA",public_comment,1,https://www.datacenterdynamics.com/en/news/meta-named-as-company-behind-328-acre-data-center-in-davenport-iowa/,IA,Scott County,local,environmental; ratepayer; tax_incentive; water,Oppose Meta data center over water in Davenport,city_council,active,pending,Meta,Meta,,800,,328,,No Data Centers Davenport,"Meta named as company behind 328-acre, $800M data center campus in Davenport in May 2024. Iowa Economic Development Authority approved incentives for a 715,000 sq ft facility with 35 jobs. Environmental activist Elizabeth VanCamp raised concerns about electricity and water usage. As of March 2026, more than a year after Meta's plans were revealed, the land remains empty and Meta has not broken ground or revealed any construction timeline, despite previously targeting Q4 2025. Opposition concerns center on excessive electricity/water use, few permanent jobs, and impacts on construction industry.",https://www.datacenterdynamics.com/en/news/meta-named-as-company-behind-328-acre-data-center-in-davenport-iowa/; https://www.wqad.com/article/money/economy/davenport-proposed-meta-data-center-land-remains-empty/526-3150dbfe-4520-41ed-8f98-ed5c304772a5; https://qctimes.com/news/local/business/article_b66be122-4747-480e-b683-e8c9fa8c8bb2.html; https://www.kwqc.com/2026/03/06/more-than-house-less-than-grocery-store-how-much-electricity-qca-data-centers-uses/; https://insideclimatenews.org/news/01032026/iowa-county-data-center-ordinance/,,,,,,,41.5236,-90.5776
Watts Township,Watts Township,2026-04-01,MRP Industrial,"Watts Township, PA",public_comment,1,https://www.witf.org/2026/04/02/perry-co-residents-get-delay-in-watts-township-data-center-ordinance/,PA,Perry County,local,community_impact; zoning; property_values,Organize against data center zoning in Watts Township,township_board,delayed,win,,MRP Industrial,,,,,,Concerned Citizens of Watts Township,"Overflow crowd at supervisor meeting forced the session outdoors. Supervisors delayed a full hearing on data center zoning ordinances until May. Residents concerned about property values, electricity bills, noise/light pollution, and Susquehanna River pollution. Volunteer fire chief was one of few supporters citing potential tax revenue.",https://www.witf.org/2026/04/02/perry-co-residents-get-delay-in-watts-township-data-center-ordinance/; https://penncapital-star.com/energy-environment/perry-county-community-gets-delay-in-data-center-ordinance/,,https://www.facebook.com/ccwattstownship/,,,,,40.4261,-77.0345
Allen County / Fort Wayne,Allen County / Fort Wayne,2023-10-01,Google (via Hatchworks LLC),"Allen County / Fort Wayne, IN",public_comment,1,https://www.wboi.org/2025-12-05/googles-data-center-part-one,IN,Allen County,local,community_impact; environmental; noise; air_quality,Oppose Google's $2B Project Zodiac data center over wetland fill in Fort Wayne,county_commission,approved,loss,Google,Google (via Hatchworks LLC),,2000,,900,,Stop FW Data Center Campus,"Google (via Hatchworks LLC) confirmed as developer of 'Project Zodiac' in Jan 2024. Broke ground April 2024 on a $2B data center campus on Fort Wayne's far east side. First phase became operational in 2025, employing up to 200 people. Indiana IDEM approved filling 2+ acres of protected wetlands for expansion despite local opposition. Google requested 179 diesel generators (528 MW backup power) with 1,074,000 gallons of diesel storage. Community concerns about environmental impact, wetlands destruction, and diesel pollution were overridden at state and local levels.",https://www.wboi.org/2025-12-05/googles-data-center-part-one; https://www.datacenterdynamics.com/en/news/indiana-approves-expanding-googles-fort-wayne-data-center-campus-onto-protected-wetlands-despite-local-opposition/; https://www.wfyi.org/news/articles/googles-data-center-what-the-build-could-mean-for-fort-wayne; https://www.hecweb.org/2025/10/07/hecs-public-comments-on-the-isolated-wetland-permit-for-project-zodiac-data-center/; https://www.wane.com/top-stories/google-confirms-its-the-business-behind-project-zodiac-data-center-project-in-fort-wayne/; https://www.datacenterdynamics.com/en/news/googles-2bn-data-center-now-operational-in-fort-wayne-indiana/; https://www.wane.com/top-stories/google-data-centers-third-phase-under-environmental-review/,,https://www.facebook.com/groups/stopfwdatacentercampus,,,,,40.977,-85.133
Clinton County (Frankfort),Clinton County (Frankfort),2025-12-01,Logistix Realty,"Clinton County (Frankfort), IN",zoning_restriction,1,https://www.wthr.com/article/news/local/clinton-county-commissioners-reject-data-center-project-over-growing-concerns-rezoning-plan-proposal/531-30cc9c05-69e5-4fb6-b510-78929ce6751b,IN,Clinton County,local,farmland; grid_energy; noise; water; zoning,Petition to block Logistix Realty data center in Clinton County,county_commission,defeated,win,,Logistix Realty,,10000,300,715,,Clinton County Indiana-NO DATA CENTERS,"Logistix Realty proposed a data center near Frankfort, first petitioning to rezone land within city limits (withdrawn July 2025), then filing a new request in December 2025 to rezone 715 acres of agricultural land to light industrial in unincorporated Clinton County. The Area Plan Commission sent a 'no recommendation' to commissioners. On January 20, 2026, commissioners voted unanimously 3-0 to deny the rezoning, citing resident opposition and concerns about water, electricity, noise, farmland loss, and lack of an identified end-user. A 12-month waiting period now applies. The 'Clinton County Indiana-NO DATA CENTERS' Facebook group mobilized opposition including yard sign campaigns.",https://www.wthr.com/article/news/local/clinton-county-commissioners-reject-data-center-project-over-growing-concerns-rezoning-plan-proposal/531-30cc9c05-69e5-4fb6-b510-78929ce6751b; https://www.wishtv.com/news/local-news/clinton-county-rejects-data-center/; https://fox59.com/news/more-negative-than-positive-clinton-county-commissioners-reject-data-center-project/; https://www.datacenterdynamics.com/en/news/land-rezoning-proposal-for-300mw-data-center-in-frankfort-indiana-rescinded-by-developer/; https://clintoncountydailynews.com/clinton-county-commissioners-deny-rezoning-request-for-proposed-data-center/,,https://www.facebook.com/groups/clintoncountyindiananodc,,,,,40.279,-86.511
Decatur County (Greensburg),Decatur County (Greensburg),2024-12-01,Jumping Bison LLC,"Decatur County (Greensburg), IN",public_comment,1,https://www.datacenterdynamics.com/en/news/locals-launch-petition-opposing-proposed-550-acre-data-center-campus-in-decatur-county-indiana/,IN,Decatur County,local,anti_ai; environmental; farmland; tax_incentive; transparency; water; zoning,950-signature petition opposing Jumping Bison data center,city_council,approved,loss,,Jumping Bison LLC,,800,300,550,,Coalition to Protect Decatur County Against AI Data Center,"Greensburg City Council unanimously approved a 10-year, 60% property tax abatement for Jumping Bison LLC's 550-acre data center campus along I-74 in December 2024. The Coalition to Protect Decatur County, Indiana, Against AI Data Center launched a petition that gathered hundreds of signatures voicing concerns about the 833-acre, $800M campus planned for seven buildings totaling over 7M sq ft consuming 300+ MW. The developer's identity remains undisclosed. Opposition cited lack of transparency about risks, but the project was approved.",https://www.datacenterdynamics.com/en/news/locals-launch-petition-opposing-proposed-550-acre-data-center-campus-in-decatur-county-indiana/; https://wrbiradio.com/anti-ai-data-center-group-organizing-in-decatur-county/; https://fox59.com/news/indynews/decatur-data-center-battle-attracts-statewide-support/; https://baxtel.com/data-center/jumping-bison-greensburg-in,,https://www.facebook.com/profile.php?id=61580212506454,,,950,,39.337,-85.484
Elkhart County (Bristol),Elkhart County (Bristol),2024-09-01,Pinnacle Properties,"Elkhart County (Bristol), IN",zoning_restriction,1,https://www.datacenterdynamics.com/en/news/locals-voice-concerns-over-upcoming-data-center-in-bristol-indiana/,IN,Elkhart County,local,environmental; farmland; noise; ratepayer; traffic; water; zoning,Oppose Pinnacle Properties data center over water in Elkhart County,city_council,approved,loss,,Pinnacle Properties,,1000,,247,,Bristol United: No Data Center,"Pinnacle Properties, representing landowner Christine Truee Wilhelm, sought to rezone 247 acres of farmland on County Road 23 in Bristol, Indiana, for a data center campus of 800,000 to 1.2 million sq ft with an estimated $1B investment. The Bristol planning commission initially rejected the proposal in January 2024. A second application was submitted and the Town Council voted 5-1 in September 2024 to approve the rezoning despite heated opposition. The 'Bristol United: No Data Center' Facebook group organized residents concerned about noise, light pollution, farmland loss, well water impacts, and rising power costs.",https://www.datacenterdynamics.com/en/news/locals-voice-concerns-over-upcoming-data-center-in-bristol-indiana/; https://www.abc57.com/news/bristol-data-center-rezoning-approved-despite-heated-opposition; https://www.elkharttruth.com/news/bristol-annexes-land-that-neighbors-fear-will-host-data-center/article_4fe63ad4-f0b0-5ab9-9e5b-03bd73240ce5.html; https://www.953mnc.com/2024/09/10/bristol-residents-oppose-proposed-data-center/; https://www.wvpe.org/wvpe-news/2024-09-20/bristol-approves-controversial-data-center-rezoning,,https://www.facebook.com/groups/bristolunitednodc,,,,,41.721,-85.818
LaPorte County,LaPorte County,2026-04-13,Microsoft,"LaPorte County, IN",public_comment,1,https://www.wndu.com/2025/12/15/laporte-county-commissioner-takes-stance-against-data-centers/,IN,LaPorte County,local,environmental; farmland; grid_energy; noise; water; zoning,Organize coalition against Microsoft data center in LaPorte County,county_commission,approved,loss,Microsoft,Microsoft,,1000,538,1500,,Say No to Data Centers in LaPorte County,"Microsoft's $1B data center was approved for a 245,000 sq ft facility on 489 acres at Radius Industrial Park in LaPorte. On April 13, 2026, the LaPorte Common Council voted to annex roughly 1,000 additional acres of farmland for Microsoft's data center expansion, enabling Microsoft to expand from 6 buildings on its initial 500-acre site to 17 total buildings. Microsoft pledged $1 billion total investment, infrastructure cost coverage, AI training programs, and a commitment that residents' electric bills will stay the same. The Common Council will review zoning changes for the 1,000 acres in early May. LaPorte County Commissioner Joe Haney has publicly objected to data centers.",https://www.wndu.com/2025/12/15/laporte-county-commissioner-takes-stance-against-data-centers/; https://wsbt.com/news/local/laporte-county-dispels-data-center-rumors-as-microsoft-project-advances-community-local-indiana-legal-pushback-land; https://www.govtech.com/products/residents-push-indiana-community-toward-halt-on-data-centers; https://cityoflaporte.com/news/gov-holcomb-announces-plans-for-new-1b-microsoft-data-center-in-northwest-indiana; https://indianaeconomicdigest.net/MobileContent/Most-Recent/Health-Care/Article/LaPorte-County-backs-limits-on-data-centers-amid-farmland-concerns/31/91/120326; https://www.wndu.com/2026/03/03/laporte-microsoft-data-center-deal-direct-revenue-local-schools/; https://www.wndu.com/2026/04/14/city-laporte-votes-annex-roughly-1000-acres-farmland-near-microsoft-data-center-project/,,https://www.facebook.com/groups/saynotodatacenterslaportecounty,,,,,41.611,-86.725
